"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login","SUCCESS","2022-05-17T16:03:57.7068069+07:00[Asia/Jakarta]","0.0","135.38"
"As a user","Logout from my account","SUCCESS","2022-05-17T16:06:13.3049601+07:00[Asia/Jakarta]","0.0","35.45"
"Change item's quantity on my shopping cart","I add quantity of an item","SUCCESS","2022-05-17T16:06:50.2763547+07:00[Asia/Jakarta]","0.0","29.56"
"Change item's quantity on my shopping cart","I reduce quantity of an item","SUCCESS","2022-05-17T16:07:21.6477419+07:00[Asia/Jakarta]","0.0","30.17"
"Change item's quantity on my shopping cart","I remove the item in my shopping cart","SUCCESS","2022-05-17T16:07:54.6417618+07:00[Asia/Jakarta]","0.0","38.21"
"Change item's quantity on my shopping cart","I click Bayar button on product page","SUCCESS","2022-05-17T16:08:34.6275101+07:00[Asia/Jakarta]","0.0","30.77"
"Product","Buy first product","SUCCESS","2022-05-17T16:09:06.7819705+07:00[Asia/Jakarta]","0.0","28.23"
"Product","Buy second product","SUCCESS","2022-05-17T16:09:37.2134553+07:00[Asia/Jakarta]","0.0","33.97"
"Product","When i don't buy anything on product page","SUCCESS","2022-05-17T16:10:12.8310204+07:00[Asia/Jakarta]","0.0","38.43"
"Product","Using category bar","SUCCESS","2022-05-17T16:10:52.8888861+07:00[Asia/Jakarta]","0.0","30.65"
"Register","Register","SUCCESS","2022-05-17T16:11:25.2457641+07:00[Asia/Jakarta]","0.0","76.83"
